date,close,high,low,open,close,volume
2002/11/22,1395.497,1408.999,1375.539,1392.574,1390.629,8541900
2002/11/21,1390.629,1421.233,1389.289,1421.233,1425.843,8854800
2002/11/20,1425.843,1459.212,1423.803,1459.212,1462.174,7054400
2002/11/19,1462.174,1464.763,1441.731,1450.703,1451.29,4980700
2002/11/18,1451.29,1468.325,1447.491,1463.724,1463.691,4635300
2002/11/15,1463.691,1481.22,1451.392,1455.98,1460.795,7288200
2002/11/14,1460.795,1489.14,1459.709,1488.914,1490.464,6492900
2002/11/13,1490.464,1491.236,1461.26,1483.712,1485.913,8028000
2002/11/12,1485.913,1517.717,1481.161,1504.576,1504.403,9789700
2002/11/11,1504.403,1526.132,1501.989,1519.603,1522.187,5626400
2002/11/8,1522.187,1573.104,1517.391,1569.999,1554.237,12127700
2002/11/7,1554.237,1559.821,1546.265,1554.043,1552.561,8131801
2002/11/6,1552.561,1559.225,1548.728,1558.914,1558.239,8156400
2002/11/5,1558.239,1565.227,1532.288,1533.81,1531.842,15686700
2002/11/4,1531.842,1532.226,1515.072,1516.22,1510.76,7102800
2002/11/1,1510.76,1511.095,1498.213,1507.383,1507.496,6107001
2002/10/31,1507.496,1521.871,1505.999,1510.03,1509.707,7586201
2002/10/30,1509.707,1513.461,1498.448,1511.112,1510.882,8251400
2002/10/29,1510.882,1511.765,1488.679,1501.381,1502.716,6813100
2002/10/28,1502.716,1518.601,1500.007,1518.086,1520.313,6507300
2002/10/25,1520.313,1542.592,1517.415,1535.796,1536.52,6455700
2002/10/24,1536.52,1550.431,1535.9,1549.785,1548.965,5153900
2002/10/23,1548.965,1550.088,1539.476,1549.766,1548.104,5245500
2002/10/22,1548.104,1553.865,1525.065,1525.08,1524.925,7363100
2002/10/21,1524.925,1525.256,1512.327,1519.205,1519.539,3884600
2002/10/18,1519.539,1523.831,1500.543,1511.177,1513.097,5077600
2002/10/17,1513.097,1538.794,1511.398,1537.965,1537.388,5110100
2002/10/16,1537.388,1548.525,1524.908,1524.908,1524.728,6384601
2002/10/15,1524.728,1534.58,1522.101,1531.581,1531.676,4701200
2002/10/14,1531.676,1532.63,1509.136,1522.872,1524.051,6573200
2002/10/11,1524.051,1536.873,1521.911,1532.136,1530.407,8199300
2002/10/10,1530.407,1542.564,1528.352,1532.181,1535.366,7217300
2002/10/9,1535.366,1571.523,1534.911,1570.649,1562.993,19118400
2002/10/8,1562.993,1577.052,1558.476,1577.052,1581.618,3511700
2002/9/27,1581.618,1591.837,1577.53,1587.243,1587.649,6240900
2002/9/26,1587.649,1599.983,1586.53,1597.854,1597.837,5777700
2002/9/25,1597.837,1602.354,1590.494,1595.806,1596.732,4409800
2002/9/24,1596.732,1602.285,1594.282,1602.203,1602.591,4245900
2002/9/23,1602.591,1604.295,1597.287,1602.276,1604.913,3573500
2002/9/20,1604.913,1618.2,1602.885,1618.2,1619.354,4227100
2002/9/19,1619.354,1623.653,1585.068,1593.573,1594.584,7208900
2002/9/18,1594.584,1605.216,1593.526,1603.613,1604.881,4372000
2002/9/17,1604.881,1612.015,1593.981,1603.457,1604.083,6095200
2002/9/16,1604.083,1624.137,1598.74,1624.133,1625.759,6453600
2002/9/13,1625.759,1626.069,1621.424,1624.502,1624.558,3541400
2002/9/12,1624.558,1631.665,1614.599,1619.94,1620.355,5083100
2002/9/11,1620.355,1626.842,1605.977,1625.326,1625.111,6225000
2002/9/10,1625.111,1627.35,1619.33,1620.282,1621.582,6982800
2002/9/9,1621.582,1628.452,1617.009,1628.452,1631.384,5353900
2002/9/6,1631.384,1644.795,1629.928,1639.888,1641.807,6983400
2002/9/5,1641.807,1662.899,1639.821,1662.892,1663.972,8241600
2002/9/4,1663.972,1675.965,1662.489,1674.453,1674.07,5036100
2002/9/3,1674.07,1680.279,1669.577,1669.585,1668.774,6252800
2002/9/2,1668.774,1669.905,1663.172,1666.341,1666.618,4640300
2002/8/30,1666.618,1669.14,1664.822,1666.979,1667.318,4658700
2002/8/29,1667.318,1680.173,1665.724,1676.858,1676.77,5690800
2002/8/28,1676.77,1683.505,1675.525,1680.754,1679.691,7490029
2002/8/27,1679.691,1680.063,1670.112,1670.627,1670.685,7445300
2002/8/26,1670.685,1682.316,1668.823,1682.136,1683.207,6019600
2002/8/23,1683.207,1688.124,1679.115,1686.296,1686.111,6964500
2002/8/22,1686.111,1696.277,1672.427,1672.696,1673.549,12210700
2002/8/21,1673.549,1677.954,1668.364,1671.991,1671.351,7388100
2002/8/20,1671.351,1673.915,1644.248,1644.616,1644.301,10656400
2002/8/19,1644.301,1650.086,1641.403,1645.931,1646.792,4212100
2002/8/16,1646.792,1652.98,1624.049,1632.961,1634.366,7805800
2002/8/15,1634.366,1647.07,1632.133,1646.616,1646.722,4488800
2002/8/14,1646.722,1647.086,1635.287,1636.889,1636.632,4120800
2002/8/13,1636.632,1642.411,1633.547,1633.677,1634.566,3718100
2002/8/12,1634.566,1642.593,1633.094,1642.477,1647.046,5140200
