"date","time","open","high","low","close","volume"
06/21/2018,1237,185.34,185.34,185.2,185.2,51686
06/21/2018,1238,185.2,185.27,185.18,185.19,60992
06/21/2018,1239,185.2,185.25,185.17,185.24,39773
06/21/2018,1240,185.24,185.27,185.18,185.22,52636
06/21/2018,1241,185.24,185.26,185.18,185.22,48063
06/21/2018,1242,185.22,185.25,185.13,185.14,51231
06/21/2018,1243,185.15,185.21,185.12,185.21,62058
06/21/2018,1244,185.22,185.37,185.18,185.37,38259
06/21/2018,1245,185.36,185.36,185.22,185.25,72384
06/21/2018,1246,185.25,185.37,185.25,185.36,38648
06/21/2018,1247,185.35,185.37,185.31,185.32,24206
06/21/2018,1248,185.32,185.39,185.29,185.39,20992
06/21/2018,1249,185.39,185.46,185.38,185.46,29868
06/21/2018,1250,185.46,185.5,185.45,185.47,24112
06/21/2018,1251,185.47,185.58,185.47,185.54,35848
06/21/2018,1252,185.54,185.56,185.49,185.49,35967
06/21/2018,1253,185.49,185.55,185.43,185.55,18204
06/21/2018,1254,185.55,185.6,185.52,185.6,23588
06/21/2018,1255,185.58,185.59,185.41,185.45,29320
06/21/2018,1256,185.46,185.54,185.46,185.47,22887
06/21/2018,1257,185.46,185.47,185.33,185.37,41505
06/21/2018,1258,185.36,185.41,185.33,185.35,21983
06/21/2018,1259,185.34,185.34,185.27,185.29,25740
06/21/2018,1300,185.29,185.3,185.24,185.29,32805
06/21/2018,1301,185.3,185.33,185.26,185.31,22725
06/21/2018,1302,185.3,185.39,185.3,185.37,22300
06/21/2018,1303,185.37,185.4,185.31,185.32,60910
06/21/2018,1304,185.31,185.35,185.28,185.34,18732
06/21/2018,1305,185.33,185.36,185.24,185.28,49987
06/21/2018,1306,185.27,185.37,185.25,185.35,41407
06/21/2018,1307,185.36,185.37,185.33,185.34,17988
06/21/2018,1308,185.35,185.37,185.26,185.26,48616
06/21/2018,1309,185.27,185.29,185.26,185.27,18385
06/21/2018,1310,185.27,185.34,185.18,185.34,84494
06/21/2018,1311,185.33,185.35,185.3,185.33,20191
06/21/2018,1312,185.32,185.35,185.31,185.32,17255
06/21/2018,1313,185.32,185.33,185.26,185.3,18278
06/21/2018,1314,185.29,185.33,185.29,185.33,18993
06/21/2018,1315,185.32,185.46,185.3,185.45,25328
06/21/2018,1316,185.46,185.5,185.43,185.49,29400
06/21/2018,1317,185.49,185.55,185.49,185.53,28703
06/21/2018,1318,185.54,185.57,185.54,185.54,23382
06/21/2018,1319,185.54,185.54,185.45,185.46,23939
06/21/2018,1320,185.46,185.49,185.44,185.49,19581
06/21/2018,1321,185.49,185.53,185.45,185.45,32145
06/21/2018,1322,185.44,185.62,185.39,185.61,53929
06/21/2018,1323,185.61,185.62,185.54,185.55,34867
06/21/2018,1324,185.55,185.59,185.51,185.52,17166
06/21/2018,1325,185.53,185.59,185.53,185.58,14149
06/21/2018,1326,185.58,185.6,185.54,185.55,21135
06/21/2018,1327,185.54,185.55,185.53,185.55,14056
06/21/2018,1328,185.55,185.57,185.5,185.51,18929
06/21/2018,1329,185.51,185.51,185.41,185.41,29982
06/21/2018,1330,185.41,185.58,185.41,185.57,19370
06/21/2018,1331,185.57,185.61,185.54,185.61,15789
06/21/2018,1332,185.6,185.6,185.48,185.49,21150
06/21/2018,1333,185.5,185.55,185.45,185.46,26115
06/21/2018,1334,185.46,185.5,185.45,185.49,11760
06/21/2018,1335,185.5,185.53,185.49,185.52,7762
06/21/2018,1336,185.52,185.56,185.5,185.51,18748
06/21/2018,1337,185.52,185.55,185.45,185.47,23465
06/21/2018,1338,185.48,185.54,185.48,185.48,18536
06/21/2018,1339,185.48,185.51,185.46,185.46,21472
06/21/2018,1340,185.47,185.51,185.41,185.43,25735
